category	status	severity	package	symbol	score	cpp_anchor	selfhost_anchor	cpp_br	cpp_lp	cpp_ret	cj_br	cj_lp	cj_ret	missing_calls
flow	retained	P2	chir	CollectFuncDecl	18	CHIR/AST2CHIR/ASTPackage2CHIR.cpp:227;Sema/Collector.cpp:297;Sema/Collector.h:75	chir/src/FaithfulAST2CHIR.cj:1478;sema/src/Desugar/AfterTypeCheck/SemanticUsageCollector.cj:130	10	3	3	9	2	2	AddSymbol, BuildSymbolTable, CalcScopeGateName, CollectAnnotations, Diagnose, FinalizeScope, InitializeScope, NodeInfo
flow	retained	P2	chir	CommentToString	18	CHIR/IR/AnnoInfo.cpp:29;CHIR/IR/Expression/Expression.cpp:470;CHIR/IR/Expression/Expression.cpp:506	chir/src/ToStringUtils.cj:375;chir/src/ToStringUtils.cj:379	9	0	5	1	0	3	AddExtraComment, BaseCommentToString, GetGenericTypeConstaintsStr, GetGenericTypeParams, GetIdentifier
flow	retained	P2	chir	ToCHIRPackage	18	CHIR/AST2CHIR/AST2CHIR.cpp:552	chir/src/FaithfulAST2CHIR.cj:1071	3	0	3	3	0	2	BuildDeserializedTable, CacheSomeDeclsToGlobalSymbolTable, CollectTopLevelDecls, GetCurPackage, HasFailed, RegisterAllSources, SortGlobalVarDecl, TranslateAllDecls, TryToDeserializeCHIR
flow	retained	P2	chir	CheckLocalId	17	CHIR/Checker/CHIRChecker.cpp:1399	chir/src/CHIRChecker.cj:2410	7	4	2	2	2	0	ErrorInFunc, GetResult, IsLambda, ToString, Visit
flow	retained	P2	chir	CheckStore	17	CHIR/Checker/CHIRChecker.cpp:4195	chir/src/CHIRChecker.cj:1205	6	0	2	5	0	1	ErrorInFunc, GetExpr, GetIdentifier, GetLocation, GetResult, GetValue, OperandNumIsEqual, TypeIsExpected
flow	retained	P2	chir	TranslateTrivialAssign	17	CHIR/AST2CHIR/TranslateASTNode/TranslateAssignExpr.cpp:206;CHIR/AST2CHIR/TranslateASTNode/TranslateAssignExpr.cpp:266	chir/src/Translator.cj:7226	4	0	2	1	0	1	CreateAndAppendWrappedStore, CreateAndAppendWrappedStoreElementByName, CreateGetElementRefWithPath, GetType, Set, TranslateExprArg, TranslateLocation
flow	retained	P2	chir	AddVirtualEdgeToNode	16	CHIR/Analysis/CallGraphAnalysis.cpp:151	chir/src/CallGraphAnalysis.cj:215	3	3	1	6	0	3	AddCalledEdge, DeleteCalledEdge, GetExprKind, GetMethodName, GetMethodType, GetObject, GetOrCreateNode, IsFuncWithBody
flow	retained	P2	chir	CheckFuncType	16	CHIR/AST2CHIR/AST2CHIRChecker.cpp:198;CHIR/AST2CHIR/AST2CHIRChecker.cpp:81;CHIR/Checker/CHIRChecker.cpp:828	chir/src/AST2CHIRChecker.cj:91;chir/src/CHIRChecker.cj:273;parse/src/ASTChecker.cj:1001	12	3	11	14	1	9	CheckCFuncParamType, CheckCFuncReturnType, CheckReferenceTypeLegality, ErrorInFunc, ErrorInLambdaOrFunc, GetIdentifier, IsFunc, IsTyCorrect
flow	retained	P2	chir	IsSimpleLiteralValue	16	CHIR/AST2CHIR/GlobalVarInitializer.cpp:201	chir/src/FaithfulAST2CHIR.cj:3629	20	0	4	4	0	2	-
flow	retained	P2	chir	BlackBoxModifyArgTypeToRef	15	CHIR/AST2CHIR/TranslateASTNode/TranslateCallExpr.cpp:479	chir/src/Translator.cj:6209	5	1	0	4	1	0	CreateAndAppendWrappedStore, GetDebugLocation, GetNonDebugUsers, GetResult, IsLoad, IsLocalVar, RemoveSelfFromBlock
flow	retained	P2	chir	CheckBitExpression	15	CHIR/Checker/CHIRChecker.cpp:2933	chir/src/CHIRChecker.cj:1136	3	0	0	2	0	0	GetLHSOperand, GetOpKind, GetOverflowStrategy, GetRHSOperand, GetRawExpr, GetType, OverflowStrategyMustBeValid
flow	retained	P2	chir	CollectConstMemberVarType	15	CHIR/Analysis/ConstMemberVarCollector.cpp:21;CHIR/Analysis/DevirtualizationInfo.cpp:170	chir/src/ConstMemberVarCollector.cj:22;chir/src/DevirtualizationInfo.cj:127	7	3	0	6	3	1	CanBeInherited, GetAllInstanceVarNum, GetDirectInstanceVarNum, GetDirectInstanceVars, IsClassLike, IsExtend, StripAllRefs
flow	retained	P2	chir	CreateGlobalVarSignature	15	CHIR/AST2CHIR/AST2CHIR.cpp:204	chir/src/FaithfulAST2CHIR.cj:4016	5	2	0	2	2	0	CreateAnnoFactoryFuncSig, CreateTranslator, FlatternPattern, IsAvailable, SetAnnoInfo, TestAttr
